,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
329,2070 THIRD AVENUE,2019-02-06,Residential,MANHATTAN,10029,40.796435,-73.941137,East Harlem North
333,25-10 30TH ROAD,2019-01-16,Residential,QUEENS,11102,40.767707,-73.925,Old Astoria
345,790 EAST 152ND STREET,2019-01-23,Residential,BRONX,10455,40.815564,-73.905806,Melrose South-Mott Haven North
350,1360 HERKIMER STREET,2019-02-20,Residential,BROOKLYN,11233,40.677387,-73.908546,Ocean Hill
357,260 PARKHILL AVE.,2019-04-17,Residential,STATEN ISLAND,10304,40.612677,-74.083078,Grymes Hill-Clifton-Fox Hills
363,940 EAST 228TH ST,2019-06-19,Residential,BRONX,10466,40.887685,-73.852293,Williamsbridge-Olinville
368,147 WEST 35TH STREET  ##,2019-05-20,Commercial,MANHATTAN,10001,40.751123,-73.988844,Midtown-Midtown South
373,2441 ADAM CLAYTON POWELL BLVD,2019-05-02,Residential,MANHATTAN,10030,40.819809,-73.940401,Central Harlem North-Polo Grounds
375,161 VARICK STREET,2019-01-17,Commercial,MANHATTAN,10013,40.726714,-74.005625,SoHo-TriBeCa-Civic Center-Little Italy
382,232-07 HILLSIDE AVENUE,2019-02-04,Residential,QUEENS,11427,40.733302,-73.737831,Bellerose
394,117-33 135TH ST,2019-01-28,Residential,QUEENS,11420,40.67703,-73.804414,South Ozone Park
408,20 METROPOLITAN OVAL,2019-04-18,Residential,BRONX,10462,40.838229,-73.859121,Parkchester
413,3990 BRONX BLVD,2019-04-05,Residential,BRONX,10466,40.889347,-73.864004,Williamsbridge-Olinville
427,1050 WILLMOHR STREET,2019-01-25,Residential,BROOKLYN,11212,40.656055,-73.919236,Rugby-Remsen Village
439,1849 SEDGWICK AVENUE,2019-02-07,Residential,BRONX,10453,40.853212,-73.918082,University Heights-Morris Heights
455,2160 HOLLAND AVENUE,2019-03-07,Residential,BRONX,10462,40.855325,-73.865715,Pelham Parkway
456,4085 ELY AVE.,2019-01-16,Residential,BRONX,10466,40.891627,-73.846042,Woodlawn-Wakefield
461,275 WEST 140TH ST,2019-01-17,Residential,MANHATTAN,10030,40.819305,-73.943339,Central Harlem North-Polo Grounds
465,3121 VILLA AVENUE,2019-03-12,Residential,BRONX,10468,40.875146,-73.887529,Bedford Park-Fordham North
470,1690 BRYANT AVENUE,2019-02-19,Residential,BRONX,10460,40.835319,-73.885793,Crotona Park East
475,211 SPRAGUE AVE,2019-02-13,Residential,STATEN ISLAND,10307,40.506233,-74.238401,Charleston-Richmond Valley-Tottenville
479,4000 LOWERRE PLACE,2019-03-18,Residential,BRONX,10466,40.888937,-73.861017,Williamsbridge-Olinville
481,3328 GUNTHER AVE.,2019-02-13,Residential,BRONX,10469,40.876682,-73.842189,Eastchester-Edenwald-Baychester
510,330 HINSDALE STREET,2019-05-02,Residential,BROOKLYN,11207,40.66684,-73.899405,East New York (Pennsylvania Ave)
528,721 WALTON AVENUE,2019-01-24,Residential,BRONX,10451,40.823871,-73.926122,West Concourse
529,360 EAST 116TH STREE T A/K/A 2257 FIRST AVENUE,2019-05-09,Commercial,MANHATTAN,10029,40.796402,-73.93637,East Harlem North
532,3231 SEYMOUR AVENUE,2019-06-26,Residential,BRONX,10469,40.872819,-73.847231,Eastchester-Edenwald-Baychester
537,103 HULL STREET,2019-03-18,Residential,BROOKLYN,11233,40.679304,-73.913011,Ocean Hill
558,954 EAST 228TH STREET,2019-05-01,Residential,BRONX,10466,40.887595,-73.852004,Williamsbridge-Olinville
561,2911 BARNES AVENUE,2019-01-09,Residential,BRONX,10467,40.868234,-73.863443,Bronxdale
578,131-46 228 STREET,2019-03-05,Residential,QUEENS,11413,40.679793,-73.740504,Laurelton
583,2641 MARION AVENUE,2019-02-19,Residential,BRONX,10458,40.864533,-73.890899,Bedford Park-Fordham North
592,2425 NOSTRAND AVENUE,2019-05-31,Residential,BROOKLYN,11210,40.625562,-73.946634,Flatlands
596,120-24 199 STREET,2019-04-10,Residential,QUEENS,11412,40.689676,-73.750951,St. Albans
606,111-28 158TH STREET,2019-05-28,Residential,QUEENS,11433,40.689907,-73.791113,South Jamaica
608,2707 MORRIS AVENUE,2019-03-28,Residential,BRONX,10468,40.867924,-73.895626,Van Cortlandt Village
610,3505 WAYNE AVENUE,2019-01-10,Residential,BRONX,10467,40.8809,-73.877546,Norwood
614,3611 AVENUE D,2019-01-23,Residential,BROOKLYN,11203,40.641326,-73.942538,East Flatbush-Farragut
616,29 ARCADIA PLACE,2019-02-11,Residential,STATEN ISLAND,10310,40.628009,-74.123276,West New Brighton-New Brighton-St. George
639,1298 BAY ST.,2019-02-08,Residential,STATEN ISLAND,10305,40.611731,-74.064402,Stapleton-Rosebank
640,439 BEACH 54TH ST,2019-01-25,Residential,QUEENS,11692,40.596418,-73.784687,Hammels-Arverne-Edgemere
645,2296 ATLANTIC AVENUE,2019-05-17,Residential,BROOKLYN,11233,40.676249,-73.909341,Ocean Hill
646,1752 WALTON AVENUE,2019-06-11,Residential,BRONX,10453,40.847107,-73.910543,Mount Hope
652,540 COMMONWEALTH AVENUE,2019-02-20,Residential,BRONX,10473,40.815578,-73.864458,Soundview-Castle Hill-Clason Point-Harding Park
659,171 EAST 93RD STREET,2019-04-08,Residential,BROOKLYN,11212,40.661211,-73.925548,Rugby-Remsen Village
660,2500 JOHNSON AVENUE,2019-03-01,Residential,BRONX,10463,40.877162,-73.917861,Spuyten Duyvil-Kingsbridge
662,3201 GLENWOOD ROAD,2019-01-04,Residential,BROOKLYN,11210,40.634134,-73.945719,Flatbush
672,2087 CRESTON AVENUE,2019-05-14,Residential,BRONX,10453,40.853755,-73.903926,Mount Hope
680,205 AVENUE C,2019-01-17,Residential,MANHATTAN,10009,40.727362,-73.976458,Lower East Side
690,172-69 HIGHLAND AVE,2019-02-25,Residential,QUEENS,11432,40.713485,-73.788579,Jamaica Estates-Holliswood
692,250 EAST GUN HILL RO AD,2019-04-08,Residential,BRONX,10467,40.879919,-73.876087,Norwood
704,2037 BELMONT AVENUE,2019-01-10,Residential,BRONX,10457,40.84796,-73.890319,East Tremont
711,870 EAST 162ND STREE T,2019-01-24,Residential,BRONX,10459,40.821326,-73.900006,Longwood
715,759 CROWN STREET,2019-06-28,Residential,BROOKLYN,11213,40.665294,-73.932479,Crown Heights North
717,350 STERLING STREET,2019-06-10,Residential,BROOKLYN,11225,40.663206,-73.949469,Prospect Lefferts Gardens-Wingate
734,741 HUNTS POINT AVEN UE A/K/A 741-743 HUNTS POINT AVENUE,2019-06-18,Residential,BRONX,10474,40.81558,-73.886933,Hunts Point
740,710 EAST 9TH STREET,2019-04-08,Residential,MANHATTAN,10009,40.725093,-73.977534,Lower East Side
746,25 BROAD STREET,2019-06-04,Residential,MANHATTAN,10004,40.706114,-74.01126,Battery Park City-Lower Manhattan
750,45 CLERMONT AVENUE,2019-02-20,Residential,BROOKLYN,11205,40.696612,-73.971532,Fort Greene
751,772 49TH STREET,2019-05-29,Commercial,BROOKLYN,11220,40.642115,-74.00387,Sunset Park East
760,57 PARK TERRACE WEST,2019-06-13,Residential,MANHATTAN,10034,40.871055,-73.917753,Marble Hill-Inwood
767,2960 WEST 24TH ST,2019-02-22,Residential,BROOKLYN,11224,40.574326,-73.990846,Seagate-Coney Island
776,957 GREENE AVENUE,2019-06-12,Residential,BROOKLYN,11221,40.690953,-73.929031,Stuyvesant Heights
785,5190 AMBOY RD.,2019-04-30,Residential,STATEN ISLAND,10312,40.535078,-74.183414,Annadale-Huguenot-Prince's Bay-Eltingville
786,2197-2199 CRUGER AVE,2019-01-28,Residential,BRONX,10462,40.856265,-73.866649,Pelham Parkway
788,9-21 BRIGHTON 1ST ROAD,2019-02-20,Residential,BROOKLYN,11235,40.576238,-73.966439,Brighton Beach
790,1261 70TH STREET,2019-06-19,Residential,BROOKLYN,11228,40.623711,-74.005396,Dyker Heights
791,660 EAST 98TH STREET,2019-04-26,Residential,BROOKLYN,11236,40.653644,-73.910287,Rugby-Remsen Village
793,2315 ANDREWS AVENUE NORTH,2019-04-29,Residential,BRONX,10468,40.861685,-73.907154,Kingsbridge Heights
794,564 WEST 160TH STREET,2019-05-29,Commercial,MANHATTAN,10032,40.83543,-73.942338,Washington Heights South
801,29 FURMAN AVENUE,2019-02-04,Residential,BROOKLYN,11207,40.682132,-73.907047,Bushwick South
802,324 WEST 17TH STREET,2019-01-10,Residential,MANHATTAN,10011,40.742044,-74.002046,Hudson Yards-Chelsea-Flatiron-Union Square
804,426 EAST 149TH STREET,2019-05-10,Residential,BRONX,10455,40.815523,-73.916377,Mott Haven-Port Morris
823,1426 LORING AVENUE,2019-05-02,Residential,BROOKLYN,11208,40.668279,-73.858835,East New York
824,550 WEST 54TH STREET,2019-02-26,Residential,MANHATTAN,10019,40.767918,-73.991726,Clinton
825,11-37 30TH DRIVE,2019-05-15,Residential,QUEENS,11102,40.770128,-73.933756,Old Astoria
830,504 EAST 88TH STREET,2019-04-02,Residential,MANHATTAN,10128,40.777051,-73.945765,Yorkville
832,331 BEACH 31ST   STR EET,2019-05-15,Residential,QUEENS,11691,40.596413,-73.763964,Hammels-Arverne-Edgemere
834,1054 LONGFELLOW AVENUE,2019-06-07,Residential,BRONX,10459,40.824658,-73.887716,Hunts Point
840,757 EAST 169TH ST,2019-04-09,Residential,BRONX,10456,40.831144,-73.900165,Morrisania-Melrose
849,1214 AVENUE K,2019-04-17,Residential,BROOKLYN,11230,40.6225,-73.963487,Midwood
855,1991 BERGEN STREET,2019-04-04,Residential,BROOKLYN,11233,40.674192,-73.914906,Ocean Hill
860,86-20 PARK LANE SOUTH,2019-06-10,Residential,QUEENS,11421,40.696603,-73.859002,Woodhaven
864,87-69 PARSONS BOULEVARD,2019-06-25,Commercial,QUEENS,11432,40.707461,-73.802629,Jamaica
866,111 EAST MOSHOLU PARKWAY NORTH,2019-04-24,Residential,BRONX,10467,40.877485,-73.882109,Norwood
881,1140 BURKE AVENUE,2019-05-23,Residential,BRONX,10469,40.871189,-73.853772,Allerton-Pelham Gardens
900,362 AMBOY STREET,2019-02-13,Residential,BROOKLYN,11212,40.661353,-73.912533,Brownsville
901,2148 MULINER AVENUE,2019-05-29,Residential,BRONX,10462,40.855573,-73.861947,Pelham Parkway
904,150-81 116TH ROAD,2019-01-18,Residential,QUEENS,11434,40.682075,-73.791974,Baisley Park
907,195-15 A 67TH AVENUE   APARTMENT 1B,2019-01-24,Residential,QUEENS,11365,40.738825,-73.778568,Fresh Meadows-Utopia
917,173-01 111TH AVENUE,2019-03-12,Residential,QUEENS,11433,40.695347,-73.779448,South Jamaica
922,1348 PROSPECT AVENUE,2019-02-21,Residential,BRONX,10459,40.829925,-73.897348,Morrisania-Melrose
924,15 WEST 139TH STREET,2019-05-20,Residential,MANHATTAN,10037,40.81559,-73.936373,Central Harlem North-Polo Grounds
944,384 EAST 194TH ST,2019-04-23,Residential,BRONX,10458,40.86333,-73.889914,Belmont
947,487 LINCOLN PLACE,2019-03-29,Residential,BROOKLYN,11238,40.672051,-73.960072,Crown Heights North
948,304 W 151ST STREET,2019-01-07,Residential,MANHATTAN,10039,40.826692,-73.939332,Central Harlem North-Polo Grounds
955,5409 AVENUE O - APT 1,2019-02-11,Residential,BROOKLYN,11234,40.616872,-73.922565,Flatlands
957,1781 RIVERSIDE DRIVE,2019-05-30,Residential,MANHATTAN,10034,40.86676,-73.930915,Washington Heights North
967,6355 BROADWAY ROOM 416-1,2019-03-12,Residential,BRONX,10471,40.901298,-73.896832,North Riverdale-Fieldston-Riverdale
976,38-2 LIVERMORE AVE.,2019-04-25,Residential,STATEN ISLAND,10302,40.623053,-74.137381,Westerleigh
1014,227 DUFFIELD STREET,2019-05-21,Residential,BROOKLYN,11201,40.691292,-73.984372,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
1019,140-05 243RD STREET,2019-02-21,Residential,QUEENS,11422,40.664462,-73.736195,Rosedale
1028,3535 GRACE AVENUE,2019-05-13,Residential,BRONX,10466,40.881237,-73.840789,Eastchester-Edenwald-Baychester
1033,93-37 211TH STREET,2019-01-07,Residential,QUEENS,11428,40.717039,-73.749947,Queens Village
1035,912 EAST 178TH STREE T,2019-02-25,Residential,BRONX,10460,40.842826,-73.883518,East Tremont
1036,526 CLASSON AVENUE,2019-02-20,Residential,BROOKLYN,11238,40.682269,-73.958699,Clinton Hill
1038,120 BEACH 19 STREET,2019-01-22,Residential,QUEENS,11691,40.593572,-73.753179,Far Rockaway-Bayswater
1056,1141 EAST 58TH STREET,2019-06-12,Residential,BROOKLYN,11234,40.627021,-73.920003,Flatlands
1065,1299 ST LAWRENCE AVE,2019-01-30,Commercial,BRONX,10472,40.832637,-73.867506,West Farms-Bronx River
1072,758 LIVONIA AVENUE,2019-02-15,Residential,BROOKLYN,11207,40.665518,-73.88891,East New York
1073,1715 LACOMBE AVENUE,2019-01-11,Residential,BRONX,10473,40.814489,-73.865649,Soundview-Castle Hill-Clason Point-Harding Park
1088,1064 CAULDWELL AVE,2019-01-24,Residential,BRONX,10456,40.826364,-73.905581,Morrisania-Melrose
1091,1533 WHITE PLAINS ROAD,2019-04-15,Residential,BRONX,10462,40.838871,-73.863742,West Farms-Bronx River
1104,5201 14TH AVENUE,2019-06-28,Residential,BROOKLYN,11219,40.631929,-73.991742,Borough Park
1116,550 EAST 170TH ST,2019-01-24,Residential,BRONX,10456,40.834802,-73.90266,Claremont-Bathgate
1118,94-27 93RD STREET,2019-03-15,Residential,QUEENS,11416,40.68744,-73.849452,Woodhaven
1148,235 MARTENSE STREET,2019-03-13,Residential,BROOKLYN,11226,40.651629,-73.951139,Prospect Lefferts Gardens-Wingate
1152,1225 STRATFORD AVENUE,2019-01-03,Residential,BRONX,10472,40.830157,-73.875731,West Farms-Bronx River
1161,439 WEST 48TH STREET,2019-02-07,Residential,MANHATTAN,10036,40.762747,-73.991055,Clinton
1179,107-25 120TH STREET,2019-03-12,Residential,QUEENS,11419,40.684291,-73.822164,South Ozone Park
1186,2399 GRAND CONCOURSE,2019-01-08,Commercial,BRONX,10468,40.860055,-73.898451,Fordham South
1193,67-40 PARSONS BLVD,2019-05-06,Residential,QUEENS,11365,40.733204,-73.810726,Pomonok-Flushing Heights-Hillcrest
1197,1926 CROTONA PARKWAY,2019-01-18,Residential,BRONX,10460,40.841488,-73.885121,East Tremont
1233,68-17 242ND STREET,2019-02-25,Residential,QUEENS,11362,40.750943,-73.736701,Douglas Manor-Douglaston-Little Neck
1252,170-40 HENLEY ROAD,2019-04-24,Residential,QUEENS,11432,40.71331,-73.793208,Jamaica Estates-Holliswood
1257,245 MIDWOOD STREET,2019-01-16,Residential,BROOKLYN,11225,40.660012,-73.952402,Prospect Lefferts Gardens-Wingate
1258,922 HOE AVENUE,2019-01-18,Residential,BRONX,10459,40.821663,-73.890279,Hunts Point
1260,2410 BUTLER PLACE,2019-01-17,Residential,BRONX,10461,40.836491,-73.845638,Westchester-Unionport
1275,1315 AMSTERDAM AVENUE,2019-03-21,Residential,MANHATTAN,10027,40.812647,-73.95679,Morningside Heights
1284,2011 OCEAN AVENUE,2019-03-13,Residential,BROOKLYN,11230,40.612703,-73.953919,Midwood
1293,220 LENOX AVENUE,2019-01-08,Residential,MANHATTAN,10027,40.805303,-73.947277,Central Harlem South
1313,1501 VOORHIES AVENUE,2019-01-07,Residential,BROOKLYN,11235,40.585744,-73.953747,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
1316,140 CASALS PLACE,2019-06-26,Residential,BRONX,10475,40.878465,-73.82418,Co-op City
1323,3472 KNOX PLACE,2019-05-07,Residential,BRONX,10467,40.882497,-73.882819,Norwood
1324,141 EAST 19TH ST,2019-05-20,Residential,BROOKLYN,11226,40.646075,-73.96146,Flatbush
1327,67-03 54TH AVENUE,2019-01-09,Residential,QUEENS,11378,40.728941,-73.89759,Maspeth
1341,885 SIXTH AVENUE,2019-03-19,Residential,MANHATTAN,10001,40.748189,-73.988963,Midtown-Midtown South
1366,601 W. 188 ST AKA 15 61-1569 ST. *,2019-03-28,Commercial,MANHATTAN,10040,40.853772,-73.930719,Washington Heights North
1380,700 ROSEWOOD STREET,2019-01-16,Residential,BRONX,10467,40.873206,-73.866977,Williamsbridge-Olinville
1390,16-06 149TH STREET,2019-01-10,Residential,QUEENS,11357,40.784921,-73.816493,Whitestone
1392,924 RALPH AVENUE,2019-04-12,Residential,BROOKLYN,11236,40.651917,-73.920719,Rugby-Remsen Village
1400,2309 7TH AVENUE,2019-04-25,Residential,MANHATTAN,10030,40.815611,-73.943465,Central Harlem North-Polo Grounds
1402,2160 CATON AVENUE,2019-01-07,Residential,BROOKLYN,11226,40.652968,-73.958386,Prospect Lefferts Gardens-Wingate
1403,1780 EASTBURN AVENUE,2019-05-06,Residential,BRONX,10457,40.84657,-73.90831,Mount Hope
1410,2224 SECOND AVENUE,2019-03-14,Residential,MANHATTAN,10029,40.795791,-73.938649,East Harlem North
1420,506 WEST 172ND ST,2019-02-21,Residential,MANHATTAN,10032,40.842455,-73.935509,Washington Heights South
1432,1010 CARROLL STREET,2019-06-28,Residential,BROOKLYN,11225,40.667743,-73.95758,Crown Heights South
1437,26 WEST STREET,2019-04-24,Residential,BROOKLYN,11222,40.727,-73.958783,Greenpoint
1444,139 MCGUINNESS BLVD,2019-05-29,Residential,BROOKLYN,11222,40.727153,-73.949619,Greenpoint
1448,454 W. 152ND ST.  ##,2019-04-10,Residential,MANHATTAN,10031,40.829076,-73.943052,Hamilton Heights
1450,31-25 49TH STREET,2019-04-16,Residential,QUEENS,11377,40.757429,-73.910302,Astoria
1456,750 GRAND CONCOURSE,2019-01-15,Residential,BRONX,10451,40.822893,-73.924652,East Concourse-Concourse Village
1462,264 LEGION STREET,2019-05-29,Residential,BROOKLYN,11212,40.662256,-73.916655,Brownsville
1463,2612 WEST 2ND STREET,2019-01-08,Residential,BROOKLYN,11223,40.585708,-73.971212,Gravesend
1467,45 RUTGERS STREET,2019-03-26,Residential,MANHATTAN,10002,40.712076,-73.989864,Lower East Side
1472,85-27 168TH PLACE,2019-03-11,Residential,QUEENS,11432,40.713522,-73.795458,Briarwood-Jamaica Hills
1476,102-33 91ST AVE,2019-01-22,Residential,QUEENS,11418,40.691886,-73.843463,Richmond Hill
1481,206 RIVINGTON STREET,2019-05-07,Residential,MANHATTAN,10002,40.718437,-73.982933,Lower East Side
1484,300 WEST 144TH STREE T A/K/A 2709 FREDERICK DOUGLASULEVARD,2019-03-21,Residential,MANHATTAN,10030,40.82223,-73.942585,Central Harlem North-Polo Grounds
1508,19 DOTY AVENUE,2019-03-13,Residential,STATEN ISLAND,10305,40.593744,-74.065303,Grasmere-Arrochar-Ft. Wadsworth
1510,137-33 95TH ST.,2019-01-11,Residential,QUEENS,11417,40.672198,-73.841115,Ozone Park
1514,141 WEST 145 STREET,2019-04-05,Residential,MANHATTAN,10039,40.820951,-73.937423,Central Harlem North-Polo Grounds
1516,1434 OGDEN AVENUE,2019-01-28,Residential,BRONX,10452,40.84337,-73.923736,Highbridge
1518,230 CLINTON STREET,2019-05-30,Residential,MANHATTAN,10002,40.712581,-73.986874,Lower East Side
1527,300 STANHOPE STREET,2019-06-07,Residential,BROOKLYN,11237,40.702553,-73.918599,Bushwick North
1532,242 WARWICK ST.,2019-05-07,Residential,BROOKLYN,11207,40.67814,-73.887068,East New York
1534,195-24 JAMAICA AVE,2019-05-13,Residential,QUEENS,11423,40.71327,-73.765324,Hollis
1538,1715 WATSON AVENUE,2019-05-16,Residential,BRONX,10472,40.827268,-73.869453,Soundview-Bruckner
1543,34-37 33RD STREET,2019-02-20,Residential,QUEENS,11106,40.758071,-73.926328,Astoria
1555,48-50 37TH STREET,2019-03-20,Residential,QUEENS,11101,40.739082,-73.929001,Hunters Point-Sunnyside-West Maspeth
1576,1321 DINSMORE AVENUE,2019-03-15,Residential,QUEENS,11691,40.604763,-73.748574,Far Rockaway-Bayswater
1579,306 EAST 71ST STREET,2019-04-25,Residential,MANHATTAN,10021,40.767919,-73.958411,Lenox Hill-Roosevelt Island
1580,101-21 133RD STREET  UNIT 1B,2019-02-07,Residential,QUEENS,11419,40.692491,-73.814151,Richmond Hill
1582,911 JEFFERSON AVENUE,2019-06-06,Residential,BROOKLYN,11221,40.686502,-73.922098,Stuyvesant Heights
1585,31-50 33RD STREET,2019-05-13,Residential,QUEENS,11106,40.762387,-73.922858,Astoria
1594,200-02 LINDEN BLVD,2019-02-06,Commercial,QUEENS,11412,40.694375,-73.752466,St. Albans
1612,32-57 35TH STREET,2019-02-04,Residential,QUEENS,11106,40.760045,-73.922532,Astoria
1619,1159 EAST 10 STREET,2019-01-28,Residential,BROOKLYN,11230,40.62092,-73.965451,Ocean Parkway South
1630,64 BAY 13TH STREET,2019-06-19,Residential,BROOKLYN,11214,40.60843,-74.007696,Bath Beach
1636,2366 PACIFIC STREET,2019-02-06,Residential,BROOKLYN,11233,40.675305,-73.906826,Ocean Hill
1641,234 TARGEE STREET,2019-03-06,Residential,STATEN ISLAND,10304,40.621567,-74.084187,Stapleton-Rosebank
1644,633 CRESCENT STREET,2019-01-11,Residential,BROOKLYN,11208,40.672285,-73.869219,East New York
1647,430 WEST 125TH STREET,2019-02-21,Residential,MANHATTAN,10027,40.811836,-73.954941,Morningside Heights
1649,113-35 FARMERS BLVD,2019-03-07,Residential,QUEENS,11412,40.698506,-73.762513,St. Albans
1654,1520 CARROLL STREET,2019-05-03,Residential,BROOKLYN,11213,40.666469,-73.937809,Crown Heights South
