,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
149,114 WEST 238TH STREET,2017-05-05,Residential,BRONX,10463,40.88308,-73.897823,Van Cortlandt Village
155,116-17 109TH AVENUE,2017-03-06,Residential,QUEENS,11420,40.681596,-73.824511,South Ozone Park
160,3191 ROCHAMBEAU AVE,2017-03-08,Residential,BRONX,10467,40.876045,-73.880596,Norwood
163,1090 FRANKLIN AVENUE,2017-02-01,Residential,BRONX,10456,40.827647,-73.9065,Morrisania-Melrose
170,64-85 BOOTH ST,2017-05-10,Residential,QUEENS,11374,40.727753,-73.860755,Rego Park
171,115 B WEST 168TH ST,2017-06-14,Residential,BRONX,10452,40.83842,-73.925318,Highbridge
173,1574 BEACH AVENUE,2017-06-21,Residential,BRONX,10460,40.839554,-73.867366,West Farms-Bronx River
186,2291 UNIVERSITY AVEN UE AKA 2291 DR M L K,2017-02-14,Residential,BRONX,10468,40.860721,-73.906783,Kingsbridge Heights
197,99-05 63RD DRIVE,2017-02-06,Residential,QUEENS,11374,40.731752,-73.856193,Forest Hills
204,570 RIVERSIDE DRIVE,2017-02-06,Commercial,MANHATTAN,10031,40.820311,-73.958631,Manhattanville
206,1350 NEW YORK AVENUE,2017-06-20,Residential,BROOKLYN,11210,40.639958,-73.945512,East Flatbush-Farragut
209,228 EAST 27TH STREET,2017-01-12,Residential,MANHATTAN,10016,40.740801,-73.980051,Murray Hill-Kips Bay
214,3000 OCEAN PARKWAY,2017-03-20,Residential,BROOKLYN,11235,40.576998,-73.968383,West Brighton
218,600 ALBANY AVENUE,2017-05-26,Residential,BROOKLYN,11203,40.659237,-73.939654,Prospect Lefferts Gardens-Wingate
222,1427 FLATBUSH AVE,2017-02-27,Residential,BROOKLYN,11210,40.635736,-73.950722,Flatbush
229,599 E 7TH ST.,2017-04-17,Residential,BROOKLYN,11218,40.637179,-73.971518,Kensington-Ocean Parkway
236,54 PATCHEN AVENUE,2017-05-03,Residential,BROOKLYN,11221,40.690606,-73.927603,Stuyvesant Heights
241,253 EAST 181ST STREET,2017-05-15,Residential,BRONX,10457,40.854249,-73.900039,Mount Hope
243,456 WASHINGTON ST.,2017-03-09,Residential,MANHATTAN,10013,40.724301,-74.010214,SoHo-TriBeCa-Civic Center-Little Italy
244,2225 BENSON AVENUE,2017-01-06,Residential,BROOKLYN,11214,40.599708,-73.994706,Bensonhurst West
249,2672 BRIGGS AVENUE,2017-05-02,Residential,BRONX,10458,40.865819,-73.892093,Bedford Park-Fordham North
251,236 E 178 STREET,2017-05-04,Residential,BRONX,10457,40.850311,-73.904068,Mount Hope
255,1797 PARK PLACE,2017-05-02,Residential,BROOKLYN,11233,40.671672,-73.91797,Ocean Hill
259,212-29 HILLSIDE AVE,2017-02-28,Residential,QUEENS,11427,40.725215,-73.75325,Queens Village
260,87 MELROSE STREET,2017-04-07,Residential,BROOKLYN,11206,40.699072,-73.934122,Bushwick South
270,1770 GRAND CONCOURSE,2017-02-03,Residential,BRONX,10457,40.846047,-73.909901,Mount Hope
272,220 MOUNT HOPE PL,2017-03-29,Residential,BRONX,10457,40.848259,-73.905387,Mount Hope
282,249-18 MEMPHIS AVENU E,2017-03-17,Residential,QUEENS,11422,40.661634,-73.734512,Rosedale
295,1750 SEDGWICK AVE,2017-06-07,Residential,BRONX,10453,40.851186,-73.921508,University Heights-Morris Heights
300,130 HUMBOLDT STREET,2017-05-18,Residential,BROOKLYN,11206,40.705696,-73.94121,Bushwick South
303,79 BARUCH DRIVE,2017-01-11,Residential,MANHATTAN,10002,40.717575,-73.97819,Lower East Side
314,153-10 75 AVENUE,2017-02-21,Residential,QUEENS,11367,40.726091,-73.813369,Kew Gardens Hills
315,1146 OGDEN AVENUE,2017-02-23,Residential,BRONX,10452,40.836503,-73.927351,Highbridge
318,368 97TH STREET,2017-06-05,Residential,BROOKLYN,11209,40.614997,-74.032579,Bay Ridge
328,2016 MARMION AVENUE,2017-02-03,Residential,BRONX,10460,40.844538,-73.885767,East Tremont
351,90-82 180TH STREET,2017-03-20,Residential,QUEENS,11432,40.709137,-73.780885,Jamaica
360,297 RENSSELAER AVE.,2017-02-02,Residential,STATEN ISLAND,10312,40.545448,-74.184734,Arden Heights
379,1889 SEDGWICK AVENUE,2017-06-28,Commercial,BRONX,10453,40.854224,-73.917347,University Heights-Morris Heights
381,2000 DAVIDSON AVENUE,2017-04-05,Residential,BRONX,10453,40.852818,-73.909397,University Heights-Morris Heights
404,499 OCEAN AVENUE,2017-01-18,Residential,BROOKLYN,11226,40.650587,-73.961101,Flatbush
405,827 BARBEY STREET,2017-03-23,Residential,BROOKLYN,11207,40.662142,-73.883592,East New York
416,2514 EAST 27TH STREE,2017-01-24,Residential,BROOKLYN,11235,40.590836,-73.942996,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
418,108 W 227TH STREET,2017-05-23,Residential,MANHATTAN,10463,40.87673,-73.909751,Marble Hill-Inwood
421,319 EAST 105TH ST,2017-01-19,Residential,MANHATTAN,10029,40.789505,-73.941851,East Harlem South
425,65 EAST 190TH STREET,2017-01-03,Residential,BRONX,10468,40.862984,-73.898367,Bedford Park-Fordham North
434,70-35 BROADWAY   UNIT E-1,2017-01-26,Residential,QUEENS,11372,40.748078,-73.894688,Jackson Heights
436,2357 99TH STREET,2017-01-24,Residential,QUEENS,11369,40.767459,-73.871347,East Elmhurst
442,690 ALLERTON AVENUE,2017-02-03,Residential,BRONX,10467,40.865415,-73.867748,Bronxdale
446,5905 GLENWOOD ROAD,2017-06-13,Residential,BROOKLYN,11234,40.633943,-73.919706,Flatlands
450,2001 STORY AVENUE,2017-03-02,Residential,BRONX,10473,40.824704,-73.855193,Westchester-Unionport
451,874 E. 231ST ST.,2017-02-22,Residential,BRONX,10466,40.890503,-73.853307,Williamsbridge-Olinville
462,1860 PROSPECT PLACE,2017-01-27,Residential,BROOKLYN,11233,40.672389,-73.914973,Ocean Hill
469,952 EAST 3RD STREET,2017-03-17,Residential,BROOKLYN,11230,40.627965,-73.974512,Flatbush
472,2609 BAINBRIDGE AVE.,2017-04-28,Residential,BRONX,10458,40.864279,-73.892327,Bedford Park-Fordham North
474,3900 KINGS HIGHWAY,2017-05-31,Residential,BROOKLYN,11234,40.622765,-73.936034,Flatlands
484,808 PARK AVENUE,2017-05-24,Residential,BROOKLYN,11206,40.698327,-73.942958,Stuyvesant Heights
488,539 WEST 49TH STREET,2017-05-18,Residential,MANHATTAN,10019,40.764715,-73.993791,Clinton
491,106-01 LIVERPOOL STREET,2017-01-19,Residential,QUEENS,11435,40.693562,-73.804506,Jamaica
499,3058 BRIGHTON 5TH ST REET,2017-01-30,Residential,BROOKLYN,11235,40.578081,-73.962626,Brighton Beach
500,71-71 161ST STREET,2017-03-20,Residential,QUEENS,11365,40.72847,-73.808105,Pomonok-Flushing Heights-Hillcrest
502,1477 BUSHWICK AVENUE,2017-01-17,Residential,BROOKLYN,11207,40.683384,-73.907377,Bushwick South
508,350 FULTON STREET 2ND FLOOR,2017-01-13,Commercial,BROOKLYN,11201,40.691907,-73.98849,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
513,322-324 EAST 126TH    STREET,2017-03-10,Residential,MANHATTAN,10035,40.803083,-73.9323,East Harlem North
514,7-10 COLLEGE POINT BLVD,2017-06-01,Residential,QUEENS,11356,40.790678,-73.845517,College Point
520,2255 MORRIS AVENUE,2017-01-04,Residential,BRONX,10453,40.857311,-73.902424,Fordham South
531,130 VANDALIA AVENUE,2017-03-30,Residential,BROOKLYN,11239,40.651388,-73.883355,Starrett City
534,136 WELDON STREET,2017-03-21,Residential,BROOKLYN,11208,40.680348,-73.870253,Cypress Hills-City Line
542,273 WEST 131 STREET,2017-01-10,Residential,MANHATTAN,10027,40.81384,-73.948163,Central Harlem North-Polo Grounds
545,1426 LORING AVENUE,2017-04-24,Residential,BROOKLYN,11208,40.668279,-73.858835,East New York
548,3333 HULL AVENUE,2017-04-06,Residential,BRONX,10467,40.877391,-73.874012,Norwood
571,2400 CAMBRELENG AVE,2017-05-12,Residential,BRONX,10458,40.854627,-73.885301,Belmont
577,3675 PAULDING AVENUE,2017-06-22,Residential,BRONX,10469,40.878476,-73.85594,Williamsbridge-Olinville
585,1469 FULTON AVENUE,2017-01-12,Residential,BRONX,10457,40.836096,-73.900876,Claremont-Bathgate
589,147-21 109TH AVENUE  UNIT #2,2017-06-01,Residential,QUEENS,11435,40.690716,-73.799909,South Jamaica
593,884 BECK STREET,2017-03-09,Residential,BRONX,10459,40.819228,-73.895717,Longwood
612,1807 ARCHER STREET,2017-05-03,Residential,BRONX,10460,40.837544,-73.866929,West Farms-Bronx River
617,3990 BRONX BLVD,2017-03-02,Residential,BRONX,10466,40.889347,-73.864004,Williamsbridge-Olinville
619,446 KINGSTON AVENUE,2017-04-28,Residential,BROOKLYN,11225,40.663537,-73.942764,Prospect Lefferts Gardens-Wingate
620,80-08 45TH AVENUE ROOM B122,2017-06-15,Residential,QUEENS,11373,40.741409,-73.884608,Elmhurst
627,137-20 45TH AVENUE,2017-03-23,Residential,QUEENS,11355,40.75094,-73.822838,Flushing
631,1960 CONEY ISLAND AVENUE,2017-03-07,Residential,BROOKLYN,11223,40.609336,-73.962263,Homecrest
632,75-25 210TH STREET,2017-02-17,Residential,QUEENS,11364,40.736866,-73.76251,Oakland Gardens
649,87-52 126 STREET,2017-03-20,Residential,QUEENS,11418,40.700788,-73.824573,Richmond Hill
655,162-24 CROCHERON AVENUE,2017-01-05,Residential,QUEENS,11358,40.762508,-73.803386,Murray Hill
656,3258 CAMBRIDGE AVE.,2017-04-26,Residential,BRONX,10463,40.884933,-73.908243,Spuyten Duyvil-Kingsbridge
665,2000 GRAND CONCOURSE,2017-02-24,Residential,BRONX,10457,40.851124,-73.904646,Mount Hope
669,2035 BELMONT AVENUE,2017-01-27,Residential,BRONX,10457,40.847754,-73.890482,East Tremont
676,90-60 179 PLACE,2017-01-30,Residential,QUEENS,11432,40.709347,-73.781977,Jamaica
686,140-16 34TH AVE,2017-03-13,Residential,QUEENS,11354,40.76652,-73.826984,Flushing
695,3530 DECATUR AVENUE,2017-02-24,Residential,BRONX,10467,40.879286,-73.872306,Norwood
698,660 GATES AVENUE,2017-06-26,Residential,BROOKLYN,11221,40.687653,-73.938031,Stuyvesant Heights
699,666 EAST 181ST STREET,2017-04-04,Residential,BRONX,10457,40.849323,-73.888961,East Tremont
708,1244-1250 MORRISON A VENUE,2017-06-16,Commercial,BRONX,10472,40.831051,-73.874964,West Farms-Bronx River
719,212 BEACH 91ST STREE T,2017-03-13,Residential,QUEENS,11693,40.586941,-73.814751,Hammels-Arverne-Edgemere
730,480 59TH ST.,2017-05-23,Residential,BROOKLYN,11220,40.640431,-74.016175,Sunset Park West
735,1 IRVING PLACE UNIT G7H,2017-06-08,Residential,MANHATTAN,10003,40.734072,-73.988713,Gramercy
741,1886 NEW YORK AVENUE,2017-02-01,Residential,BROOKLYN,11210,40.626373,-73.943899,Flatlands
745,320 EMPIRE BOULEVARD,2017-01-04,Residential,BROOKLYN,11225,40.663846,-73.951826,Prospect Lefferts Gardens-Wingate
747,245 EAST GUN HILL ROAD,2017-05-04,Residential,BRONX,10467,40.879979,-73.87617,Norwood
755,34 ROCKAWAY AVENUE,2017-03-20,Residential,BROOKLYN,11233,40.682613,-73.911708,Ocean Hill
761,1707 TOPPING AVENUE,2017-06-06,Residential,BRONX,10457,40.844395,-73.905801,Mount Hope
762,2911 BARNES AVENUE,2017-04-07,Residential,BRONX,10467,40.868234,-73.863443,Bronxdale
763,2767 MORRIS AVENUE,2017-02-17,Residential,BRONX,10468,40.869263,-73.894499,Van Cortlandt Village
780,1670 LONGFELLOW AVENUE,2017-01-17,Residential,BRONX,10460,40.834879,-73.885021,Crotona Park East
787,898 E. 95TH STREET,2017-04-13,Residential,BROOKLYN,11236,40.647628,-73.907985,Canarsie
796,130-30 146 STREET,2017-03-06,Residential,QUEENS,11436,40.670075,-73.792498,Baisley Park
811,3570 PALMER AVENUE,2017-01-25,Residential,BRONX,10466,40.882698,-73.837412,Eastchester-Edenwald-Baychester
813,2872 CONEY ISLAND AVENUE,2017-06-22,Commercial,BROOKLYN,11235,40.586284,-73.960515,Brighton Beach
818,2105 RYER AVENUE,2017-01-09,Residential,BRONX,10457,40.85339,-73.900691,Mount Hope
845,287 CLARKSON AVENUE,2017-05-15,Residential,BROOKLYN,11226,40.655397,-73.950643,Prospect Lefferts Gardens-Wingate
846,1293 DEAN STREET,2017-04-26,Residential,BROOKLYN,11216,40.676675,-73.946027,Crown Heights North
854,1-9 JACOBUS PLACE,2017-01-20,Residential,MANHATTAN,10463,40.875146,-73.912154,Marble Hill-Inwood
859,225 EAST 63RD STREET,2017-03-21,Residential,MANHATTAN,10065,40.76376,-73.964031,Lenox Hill-Roosevelt Island
863,62 PATCHEN AVENUE,2017-04-07,Residential,BROOKLYN,11221,40.690172,-73.927517,Stuyvesant Heights
865,959 CARROLL STREET,2017-01-04,Residential,BROOKLYN,11225,40.667905,-73.958304,Crown Heights South
868,71 MERCER STREET,2017-03-30,Residential,MANHATTAN,10013,40.722567,-74.000346,SoHo-TriBeCa-Civic Center-Little Italy
870,640 WEST 153RD STREET,2017-01-11,Residential,MANHATTAN,10031,40.832021,-73.948112,Hamilton Heights
877,2418 OLINVILLE AVENUE,2017-01-19,Residential,BRONX,10467,40.861886,-73.868471,Bronxdale
878,236 EAST 16TH STREET,2017-04-10,Residential,BROOKLYN,11226,40.644851,-73.964181,Flatbush
880,396 A MONROE STREET,2017-06-02,Residential,BROOKLYN,11221,40.686363,-73.942727,Bedford
883,51-11 ALMEDA AVENUE,2017-06-26,Residential,QUEENS,11691,40.597793,-73.783072,Hammels-Arverne-Edgemere
887,272 WEST 132ND ST,2017-01-20,Residential,MANHATTAN,10027,40.814182,-73.947021,Central Harlem North-Polo Grounds
893,920 TRINITY AVENUE,2017-03-10,Residential,BRONX,10456,40.822437,-73.906125,Morrisania-Melrose
903,69 WEST 225TH  STREET,2017-03-20,Residential,MANHATTAN,10463,40.873999,-73.908843,Marble Hill-Inwood
912,37-06 104TH ST,2017-04-17,Residential,QUEENS,11368,40.75326,-73.863466,North Corona
932,2041 5TH AVENUE,2017-01-31,Residential,MANHATTAN,10035,40.807227,-73.941658,Central Harlem North-Polo Grounds
941,454 EAST 160TH STREET,2017-05-17,Residential,BRONX,10451,40.82298,-73.912245,Morrisania-Melrose
946,1077 CASTLETON AVE.,2017-02-14,Residential,STATEN ISLAND,10310,40.634451,-74.118543,West New Brighton-New Brighton-St. George
952,60-37 68TH AVENUE,2017-04-27,Residential,QUEENS,11385,40.704451,-73.898811,Ridgewood
958,780 EAST 2ND STREET,2017-05-11,Residential,BROOKLYN,11218,40.632086,-73.976214,Borough Park
964,40 RICHMAN PLAZA,2017-03-07,Residential,BRONX,10453,40.852084,-73.922436,University Heights-Morris Heights
971,70-35 BROADWAY,2017-01-25,Residential,QUEENS,11372,40.748078,-73.894688,Jackson Heights
977,2929 WEST 31ST ST,2017-02-22,Residential,BROOKLYN,11224,40.575048,-73.997455,Seagate-Coney Island
985,13901 232ND STREET,2017-06-22,Residential,QUEENS,11413,40.668217,-73.742113,Laurelton
986,118-28 223 STREET,2017-04-17,Residential,QUEENS,11411,40.692179,-73.738645,Cambria Heights
989,5550 NETHERLAND AVE.,2017-05-19,Residential,BRONX,10471,40.903779,-73.906375,North Riverdale-Fieldston-Riverdale
1006,58-39 WALDRON STREET,2017-04-12,Residential,QUEENS,11368,40.739025,-73.85202,Corona
1012,115 WEST 143RD STREET,2017-01-31,Residential,MANHATTAN,10030,40.819514,-73.938031,Central Harlem North-Polo Grounds
1022,2758 HOLLAND AVENUE,2017-05-17,Residential,BRONX,10467,40.866318,-73.865363,Bronxdale
1026,240 AUDUBON AVE AKA 240-246 AUDUBON AVE.,2017-03-16,Residential,MANHATTAN,10033,40.846286,-73.934139,Washington Heights South
1031,2910 WALLACE AVENUE,2017-05-01,Residential,BRONX,10467,40.868207,-73.864362,Bronxdale
1048,504 HEGEMAN AVENUE,2017-01-23,Residential,BROOKLYN,11207,40.659412,-73.892838,East New York
1055,110 COLUMBIA ST,2017-06-19,Residential,MANHATTAN,10002,40.718116,-73.979687,Lower East Side
1057,4321 BROADWAY AKA 701-703 W 184TH ST,2017-01-05,Residential,MANHATTAN,10033,40.852267,-73.934679,Washington Heights North
1067,1181 BROADWAY      SUITE 200,2017-03-03,Commercial,MANHATTAN,10001,40.745125,-73.988769,Hudson Yards-Chelsea-Flatiron-Union Square
1068,832 BELMONT AVE,2017-03-10,Residential,BROOKLYN,11208,40.673081,-73.87885,East New York
1071,1940 ANDREWS AVENUE,2017-01-04,Residential,BRONX,10453,40.854896,-73.913041,University Heights-Morris Heights
1075,717 SENECA AVENUE,2017-04-03,Residential,QUEENS,11385,40.702649,-73.907401,Ridgewood
1080,1408 NEW YORK AVENUE,2017-01-19,Residential,BROOKLYN,11210,40.638289,-73.94533,Flatbush
1082,383 ESSEX STREET,2017-03-29,Residential,BROOKLYN,11208,40.67461,-73.881851,East New York
1109,3804 BAILEY AVENUE,2017-06-13,Residential,BRONX,10463,40.884241,-73.897662,Van Cortlandt Village
1126,660 LINWOOD STREET,2017-02-28,Residential,BROOKLYN,11208,40.669054,-73.881363,East New York
1128,2420-2422 PROSPECT AVENUE,2017-04-20,Residential,BRONX,10458,40.854408,-73.882316,Belmont
1134,1005-11 OGDEN AVENUE,2017-06-07,Commercial,BRONX,10452,40.833232,-73.929219,Highbridge
1135,3359 SEYMOUR AVENUE,2017-03-21,Residential,BRONX,10469,40.875173,-73.848502,Eastchester-Edenwald-Baychester
1139,8602 FT. HAMILTON PARKWAY,2017-06-06,Residential,BROOKLYN,11209,40.620335,-74.02457,Bay Ridge
1146,159-26 HARLEM RIVER DRIVE,2017-04-10,Residential,MANHATTAN,10039,40.832882,-73.935438,Central Harlem North-Polo Grounds
1147,19 WEST FORDHAM ROAD,2017-01-13,Commercial,BRONX,10468,40.862775,-73.901957,Kingsbridge Heights
1153,1482 86TH STREET,2017-01-06,Residential,BROOKLYN,11228,40.611598,-74.009847,Bath Beach
1157,2730 DECATUR AVENUE,2017-01-31,Residential,BRONX,10458,40.865549,-73.887998,Bedford Park-Fordham North
1163,821 ROCKLAND AVENUE,2017-02-23,Residential,STATEN ISLAND,10314,40.588577,-74.144417,New Springville-Bloomfield-Travis
1167,269 AVENUE O,2017-01-11,Residential,BROOKLYN,11230,40.611304,-73.974165,Ocean Parkway South
1168,1684 NELSON AVENUE,2017-01-20,Residential,BRONX,10453,40.847993,-73.917286,University Heights-Morris Heights
1169,373 92ND STREET,2017-04-18,Residential,BROOKLYN,11209,40.618763,-74.030996,Bay Ridge
1173,142-01 41ST AVENUE,2017-04-04,Residential,QUEENS,11354,40.759423,-73.825667,Flushing
1174,277 7TH STREET,2017-03-01,Residential,BROOKLYN,11215,40.671214,-73.98699,Park Slope-Gowanus
1178,43-19 39TH PLACE,2017-03-20,Residential,QUEENS,11104,40.745214,-73.92492,Hunters Point-Sunnyside-West Maspeth
1191,800 MADISON STREET,2017-06-30,Residential,BROOKLYN,11221,40.687577,-73.925674,Stuyvesant Heights
1195,108-110 EAST 176TH S TREET,2017-05-12,Residential,BRONX,10453,40.848177,-73.909403,Mount Hope
1201,864 WOODWARD AVE,2017-04-06,Residential,QUEENS,11385,40.702845,-73.902225,Ridgewood
1203,253 EAST 58TH STREET,2017-01-11,Residential,BROOKLYN,11203,40.649167,-73.922355,Rugby-Remsen Village
1207,652 W. 163RD STREET,2017-01-23,Residential,MANHATTAN,10032,40.838738,-73.944395,Washington Heights South
1208,1308 EAST 224TH STREET,2017-02-03,Residential,BRONX,10466,40.880892,-73.843463,Eastchester-Edenwald-Baychester
1217,30-84 45TH STREET,2017-04-12,Residential,QUEENS,11103,40.760019,-73.912624,Astoria
1219,2752 BRONX PARK EAST,2017-04-20,Residential,BRONX,10467,40.866024,-73.870426,Bronxdale
1225,204-10 43RD AVENUE,2017-02-17,Residential,QUEENS,11361,40.75891,-73.779476,Bayside-Bayside Hills
1241,253 EAST 142ND ST.,2017-03-10,Residential,BRONX,10451,40.814815,-73.925145,Mott Haven-Port Morris
1243,1 WEST 182ND STREET,2017-05-31,Residential,BRONX,10453,40.857091,-73.904746,Fordham South
1254,186-11 JAMAICA AVE,2017-01-06,Residential,QUEENS,11423,40.709981,-73.772961,Jamaica
1261,557 WEST 148TH ST,2017-04-06,Residential,MANHATTAN,10031,40.827796,-73.947707,Hamilton Heights
1266,2544 VALENTINE AVENU E,2017-03-07,Residential,BRONX,10458,40.863332,-73.895058,Bedford Park-Fordham North
1270,714 ST MARKS AVENUE,2017-02-06,Residential,BROOKLYN,11216,40.675162,-73.94937,Crown Heights North
1276,2794 VALENTINE AVE,2017-05-04,Residential,BRONX,10458,40.868367,-73.89094,Bedford Park-Fordham North
1278,101-64 106TH STREET,2017-01-05,Residential,QUEENS,11416,40.686459,-73.836758,Richmond Hill
1281,747 EAST 187TH STREE T,2017-03-27,Residential,BRONX,10458,40.853697,-73.882866,Belmont
1282,2476 CAMBRELENG AVE,2017-03-07,Residential,BRONX,10458,40.856594,-73.883642,Belmont
1286,2001 STILLWELL AVE,2017-03-20,Residential,BROOKLYN,11223,40.597709,-73.985438,Bensonhurst East
1291,161 VARICK STREET,2017-03-10,Commercial,MANHATTAN,10013,40.726714,-74.005625,SoHo-TriBeCa-Civic Center-Little Italy
1294,111-24 178TH ST,2017-02-22,Residential,QUEENS,11433,40.696812,-73.774921,St. Albans
1298,2556 COLDEN AVENUE,2017-03-30,Residential,BRONX,10469,40.863923,-73.859652,Bronxdale
1305,20 FATHER CAPODANNO BLVD,2017-02-02,Residential,STATEN ISLAND,10305,40.595955,-74.062212,Grasmere-Arrochar-Ft. Wadsworth
1337,55 PALMER AVENUE,2017-05-25,Residential,STATEN ISLAND,10302,40.631361,-74.133003,Port Richmond
1346,325 SHEPHERD AVENUE,2017-02-07,Residential,BROOKLYN,11208,40.677061,-73.881526,East New York
1349,53-25 195TH STREET,2017-04-24,Residential,QUEENS,11365,40.747025,-73.783543,Auburndale
1350,30 PARK AVENUE,2017-05-30,Residential,MANHATTAN,10016,40.748116,-73.980598,Murray Hill-Kips Bay
1351,1264 SHERIDAN AVENUE,2017-01-20,Residential,BRONX,10456,40.835336,-73.915448,East Concourse-Concourse Village
1354,1155 LINCOLN PLACE,2017-02-03,Residential,BROOKLYN,11213,40.670136,-73.938166,Crown Heights North
1364,55 WEST 82ND STREET,2017-03-08,Residential,MANHATTAN,10024,40.783354,-73.972737,Upper West Side
1377,8 SPRUCE STREET,2017-04-17,Residential,MANHATTAN,10038,40.711245,-74.005396,Battery Park City-Lower Manhattan
1383,256 REMSEN AVENUE,2017-04-04,Residential,BROOKLYN,11212,40.658497,-73.926334,Rugby-Remsen Village
1384,250 FRONT STREET,2017-06-07,Residential,MANHATTAN,10038,40.708151,-74.000909,Battery Park City-Lower Manhattan
1385,10 AVE D,2017-03-21,Residential,MANHATTAN,10009,40.720364,-73.978438,Lower East Side
1396,86-25 VAN WYCK EXPRESSWAY,2017-06-08,Residential,QUEENS,11435,40.706803,-73.818234,Briarwood-Jamaica Hills
1401,2471 84TH STREET,2017-05-22,Residential,BROOKLYN,11214,40.599556,-73.986748,Bensonhurst East
1406,1465 OAKLEY STREET,2017-02-03,Residential,BRONX,10469,40.880137,-73.849717,Eastchester-Edenwald-Baychester
1407,321 BEDFORD PARK BLVD,2017-05-11,Residential,BRONX,10458,40.869503,-73.884943,Bedford Park-Fordham North
1412,1284 ST. JOHNS PLACE,2017-04-26,Residential,BROOKLYN,11213,40.670829,-73.93557,Crown Heights North
1414,1516 FULTON STREET,2017-06-02,Commercial,BROOKLYN,11216,40.679865,-73.940046,Crown Heights North
1424,3764 BRONX BLVD.,2017-01-04,Residential,BRONX,10467,40.883981,-73.866196,Williamsbridge-Olinville
1429,332 42ND STREET,2017-03-10,Residential,BROOKLYN,11232,40.651647,-74.009092,Sunset Park West
1430,2123-25 TIEBOUT AVENUE,2017-06-29,Residential,BRONX,10457,40.853589,-73.898504,Mount Hope
1435,1001 EAST 167TH STREET,2017-03-03,Residential,BRONX,10459,40.82682,-73.889956,Morrisania-Melrose
1441,23 BAY 17TH STREET,2017-05-31,Residential,BROOKLYN,11214,40.607135,-74.00399,Bath Beach
1443,2249 83RD ST,2017-02-01,Residential,BROOKLYN,11214,40.602993,-73.990932,Bensonhurst West
1451,756 E. 232ND STREET,2017-05-25,Residential,BRONX,10466,40.892147,-73.85586,Williamsbridge-Olinville
1455,883 BRUCKNER BLVD.,2017-05-23,Residential,BRONX,10459,40.817373,-73.893628,Hunts Point
1460,56 EAST TREMONT AVE.,2017-06-19,Residential,BRONX,10457,40.851143,-73.908137,Mount Hope
1461,486 EAST 165TH ST,2017-01-05,Residential,BRONX,10456,40.826858,-73.908904,Morrisania-Melrose
1473,630 OCEAN AVENUE,2017-03-07,Residential,BROOKLYN,11226,40.647565,-73.960544,Flatbush
1492,592 EAST 141ST STREET,2017-06-07,Residential,BRONX,10454,40.808248,-73.91493,Mott Haven-Port Morris
1493,2123 BOSTON ROAD,2017-01-18,Residential,BRONX,10460,40.843166,-73.877854,East Tremont
1494,665 CAULDWELL AVE,2017-01-05,Residential,BRONX,10455,40.816852,-73.909547,Melrose South-Mott Haven North
1496,333 EAST 181ST  STREET,2017-02-15,Residential,BRONX,10457,40.853979,-73.898894,Mount Hope
