,Eviction Address,Executed Date,Residential/Commercial,BOROUGH,Eviction Postcode,Latitude,Longitude,NTAName
1131,1983 SEDGWICK AVENUE,2018-01-19,Residential,BRONX,10453,40.856765,-73.916176,University Heights-Morris Heights
1140,1368 PUTNAM AVENUE,2018-04-16,Residential,BROOKLYN,11221,40.694474,-73.912475,Bushwick North
1144,972 ANDERSON AVENUE,2018-06-20,Residential,BRONX,10452,40.83165,-73.927634,Highbridge
1150,208 WEST FORDHAM ROAD - APT 12,2018-01-23,Residential,BRONX,10468,40.862378,-73.909745,University Heights-Morris Heights
1172,33-54 101ST STREET,2018-01-22,Residential,QUEENS,11368,40.756481,-73.8673,North Corona
1180,1196 FULTON STREET,2018-01-08,Residential,BROOKLYN,11216,40.680587,-73.952784,Crown Heights North
1182,376 WEST 127TH STREE T,2018-03-08,Residential,MANHATTAN,10027,40.812467,-73.952614,Manhattanville
1188,454 EAST 160TH STREET,2018-05-03,Residential,BRONX,10451,40.82298,-73.912245,Morrisania-Melrose
1192,61-46 70TH STREET,2018-02-26,Residential,QUEENS,11379,40.719992,-73.887322,Middle Village
1199,610 WEST 174TH STREET,2018-01-12,Residential,MANHATTAN,10032,40.844979,-73.937516,Washington Heights South
1205,46-01 67TH STREET,2018-05-07,Residential,QUEENS,11377,40.739553,-73.897653,Elmhurst-Maspeth
1211,750 EAST 179TH STREET,2018-05-11,Residential,BRONX,10457,40.845924,-73.888222,East Tremont
1216,1401 NEW YORK AVENUE,2018-05-02,Residential,BROOKLYN,11210,40.638435,-73.945326,East Flatbush-Farragut
1228,25 HILLSIDE AVE,2018-03-27,Residential,MANHATTAN,10040,40.858698,-73.93002,Washington Heights North
1232,950 UNDERHILL AVENUE,2018-06-13,Commercial,BRONX,10473,40.824694,-73.860859,Soundview-Castle Hill-Clason Point-Harding Park
1236,415 LINCOLN AVE - APT 1A,2018-03-06,Residential,BROOKLYN,11208,40.679766,-73.868296,Cypress Hills-City Line
1237,337 EAST 146 STREET,2018-06-27,Residential,BRONX,10451,40.815246,-73.921084,Melrose South-Mott Haven North
1240,308 EAST 8TH STREET,2018-05-01,Residential,MANHATTAN,10009,40.725178,-73.979583,Lower East Side
1253,30-40 82ND STREET,2018-05-23,Residential,QUEENS,11370,40.760092,-73.886204,Jackson Heights
1273,1425 GRAND CONCOURSE,2018-04-27,Residential,BRONX,10452,40.839298,-73.913441,West Concourse
1274,1266 GRAND CONCOURSE,2018-03-07,Residential,BRONX,10456,40.835998,-73.916246,East Concourse-Concourse Village
1285,100 WEST 87TH STREET,2018-04-27,Commercial,MANHATTAN,10024,40.787337,-73.972114,Upper West Side
1287,1501 METROPOLITAN AV ENUE,2018-02-09,Residential,BRONX,10462,40.839228,-73.858855,Parkchester
1295,280 PARKHILL AVE.,2018-02-09,Residential,STATEN ISLAND,10304,40.612466,-74.083175,Grymes Hill-Clifton-Fox Hills
1301,140 NEWPORT ST. AKA 484 BRISTOL,2018-02-13,Residential,BROOKLYN,11212,40.659166,-73.910189,Brownsville
1302,110-44 207 STREET,2018-05-21,Residential,QUEENS,11429,40.706779,-73.749943,Queens Village
1314,177-26 136TH AVENUE,2018-05-25,Residential,QUEENS,11434,40.674923,-73.762792,St. Albans
1315,667 HALSEY STREET,2018-02-21,Residential,BROOKLYN,11233,40.684632,-73.925346,Stuyvesant Heights
1320,869 RUTLAND ROAD,2018-03-07,Residential,BROOKLYN,11203,40.66064,-73.930728,Prospect Lefferts Gardens-Wingate
1321,1413 NEW YORK AVENUE,2018-03-21,Residential,BROOKLYN,11210,40.638212,-73.945301,East Flatbush-Farragut
1328,6812 OWLS HEAD COURT,2018-04-17,Residential,BROOKLYN,11220,40.639011,-74.034579,Bay Ridge
1330,136-27 220TH STREET,2018-05-10,Residential,QUEENS,11413,40.676246,-73.751207,Laurelton
1331,120-07 JAMAICA AVENUE,2018-03-26,Residential,QUEENS,11418,40.700271,-73.829706,Richmond Hill
1332,574 EAST 163 STREET,2018-04-24,Residential,BRONX,10456,40.823907,-73.908128,Morrisania-Melrose
1345,126 EAST 53RD STREET,2018-05-09,Residential,BROOKLYN,11203,40.657282,-73.928054,Prospect Lefferts Gardens-Wingate
1347,1505 OCEAN AVENUE,2018-05-23,Residential,BROOKLYN,11230,40.62516,-73.956274,Midwood
1348,2013 FIFTH AVENUE,2018-01-03,Residential,MANHATTAN,10035,40.806122,-73.942465,East Harlem North
1361,1121 ELDER AVENUE,2018-06-25,Residential,BRONX,10472,40.826776,-73.878762,Soundview-Bruckner
1381,671 DECATUR STREET,2018-01-09,Residential,BROOKLYN,11233,40.683434,-73.916192,Ocean Hill
1388,853 RIVERSIDE DR.,2018-03-20,Residential,MANHATTAN,10032,40.836615,-73.946779,Washington Heights South
1393,211 W. 80TH STREET,2018-06-20,Residential,MANHATTAN,10024,40.784069,-73.97837,Upper West Side
1398,671 WESTCHESTER  AVENUE,2018-05-31,Residential,BRONX,10455,40.816411,-73.907896,Melrose South-Mott Haven North
1408,1039 EAST 231ST STREET,2018-01-24,Residential,BRONX,10466,40.888924,-73.848287,Williamsbridge-Olinville
1418,3556 WEBSTER AVENUE,2018-01-09,Residential,BRONX,10467,40.880733,-73.870701,park-cemetery-etc-Bronx
1423,83-25 98TH STREET,2018-01-17,Residential,QUEENS,11421,40.699697,-73.851274,Woodhaven
1426,622 EAST 187TH ST,2018-03-13,Residential,BRONX,10458,40.855128,-73.886743,Belmont
1428,1064 SHERIDAN AVENUE,2018-01-31,Residential,BRONX,10456,40.830834,-73.918641,East Concourse-Concourse Village
1438,428 EAST 22 ST,2018-06-21,Residential,BROOKLYN,11226,40.641176,-73.957326,Flatbush
1447,1227 FULTON STREET,2018-02-28,Residential,BROOKLYN,11216,40.680584,-73.952538,Bedford
1453,2551 HOLLAND AVE,2018-06-20,Residential,BRONX,10467,40.863987,-73.865462,Bronxdale
1464,188 COLUMBUS AVENUE,2018-03-27,Commercial,MANHATTAN,10023,40.775146,-73.98046,Lincoln Square
1479,601 WEST 190TH STREET,2018-06-12,Residential,MANHATTAN,10040,40.854992,-73.929825,Washington Heights North
1482,175 EAST 52ND STREET,2018-01-26,Residential,BROOKLYN,11203,40.657066,-73.928988,Prospect Lefferts Gardens-Wingate
1491,247 NORTH 7TH STREET - APT 101,2018-02-13,Residential,BROOKLYN,11211,40.715935,-73.954656,North Side-South Side
1498,157 EAST 53RD STREET,2018-02-21,Residential,BROOKLYN,11203,40.656258,-73.927922,Rugby-Remsen Village
1500,160-10 89TH AVENUE,2018-04-23,Residential,QUEENS,11432,40.706246,-73.800314,Jamaica
